"Nome Comune","Numero di abitanti","Sindaco","Nome degli abitanti","Frazioni","Codice Postale","Superficie","Numero di frazioni","Etimologia del nome","Storia","Patrono","Giorno festivo","Epoca di fondazione","Secolo di fondazione","Anno di fondazione","Numero di punti di interesse","Numero di aziende","Numero di scuole","Percorsi","Eventi","Geolocalizzazione","Immagine","Sitografia","Bibliografia"
"Sant'Angelo dei Lombardi",4035,"Marco Marandino","Santangiolesi","Barricella, Casaglia, Contrada Acquara, Contrada Apicella, Contrada Castellani, Contrada Fredane, Contrada Puoio, Contrada San Marco, Contrada San Pietro, Erbaia, Genualdo, Ianni, Montanaldo, Monticchio, Montocchia, Piani San Nicola, Piano Mattino, Piano Messano, Porrara, Ruggiano, Ruocchio del Conte, San Gennaro Cona, San Guglielmo, San Vito, Sant'Antuono, Santo Janni, Scannacapre, Schinicosa, Secatizzo, Selvatico, Serra di Nardo, Soriente, Vallegrande",83054,55.16,33,"La prima parte del nome ha origine dal culto verso l'arcangelo Michele. Il termine ""Lombardi"" deriva dai longobardi che lo fondarono.","Un primitivo abitato esisteva nell'epoca romana, essendo presente vicino a Aeclanum. Il paese, ricostruito dai Longobardi, acquisì importanza durante il dominio angioino nel XIII secolo, con l'acquisizione di grandi poteri della sua abbazia. Nei secoli successivi il feudo passò ai Gianvilla, ai Caracciolo e agli Imperiale. Particolare prestigio, Sant'Angelo godette nel 1432. Nel 1706 venne costituita la diocesi. Nell'800 il popolo partecipò ai moti risorgimentali, e il centro fu sede di confraternite carbonare.","San Michele Arcangelo","29 settembre","Medievale","XII",1133,3,30,3,"Informazione assente","Festa di Sant'Antonino,Festa di San Michele","40.9277, 15.1772","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/4aa94017-9415-4a95-a24c-bed66f6a3c2d.jpg","reteimprese.it, portaleabruzzo.com","",
"Santa Lucia di Serino",1404,"Ottaviano Vistocco","Luciani","Non ha frazioni",83020,4.33,0,"Il nome è ispirato e riflette il culto della Santa patrona del paese: Santa Lucia appunto.","Il territorio di Santa Lucia di Serino vanta frequentazioni antichissime, preromane, precisamente hirpine. I Romani edificarono in località Acquara, un possente acquedotto, detto appunto ""Acquedotto Romano"", sfruttando le omonime sorgenti. Tale opera di ingegneria idraulica portava le acque di Santa Lucia di Serino sino al porto militare di Miseno, dopo aver tagliato la Valle del fiume Sarno. Originariamente un semplice Casale di Serino, divenne un vero e proprio insediamento urbano, un borgo, solo nel Medioevo, all'incirca verso la metà del XII secolo, quando il feudo, di estensione contenuta, apparteneva a Guglielmo de Tivilla. Diversi feudatari si alternarono successivamente nel possesso del feudo, che già 1561 diventò Comune autonomo. Santa Lucia di Serino diede i natali al medico Giuseppe Moscati, fatto Santo, le cui resti mortali si trovano nel Santuario della Chiesa del Gesù Nuovo a Napoli.","Santa Lucia","13 dicembre","Antica","Informazione assente","Informazione assente",3,5,2,"Trekking","Festa di S. Antonio.Festa della Madonna del Carmine.Festa di San Rocco.Festa di Santa Lucia.Festa della Madonna del Rosario. Sagra dei prodotti tipici.","40.8713, 14.8750","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/5e69ef6d-a7d9-4312-8962-c290424ff7e6.png","portaleabruzzo.com, wikipedia, paginebianche.it","",
"Santa Paolina",1218,"Rino Ricciardelli","Santapaolinari","Castelmozzo, Marotta, Picoli, Passo-Serra, Pietrarola, Ponte Zeza, Sala, Santa Lucia, Viturano",83030,8.43,9,"Prende il nome di santa paolina dopo la ricostruzione del paese a causa di una frana e prende questo nome in onore di una chiesa lì vicino","La prima notizia storica del Comune di Santa Paolina risale ad un atto notarile del 1083 mediante il quale una tale Emma, moglie di Raone Trincanotte da Eboli, donò al monastero di Cava la chiesa di S. Michele Arcangelo sul Tusciano; l'atto fu sottoscritto da un certo Rao, figlio di Milone Pagano da Santa Paolina.","Santa Paolina","6 giugno","Moderna","XIX",1861,3,38,9,"Informazione assente","Mercato ogni secondo weekend del mese, eventi di natale","41.022431, 14.846439","http://spod.databenc.it/ethersheet/images/773ac4e1-efce-40e4-b082-a863f757f194/b1555b15-19c4-4fe9-a409-866a0daf1907.jpg","Wikipedia","",
"Santo Stefano del Sole",2186,"Francesco Urciuoli","Santostefanesi","Boschi, Toppolo, Macchie, Sozze di Sopra, Sozze di Sotto, San Pietro",83050,11.18,6,"Sull'origine del nome non si hanno notizie certe, ma solo supposizioni","Le origini di Santo Stefano del Sole (ha aggiunto l'appellativo “del Sole” soltanto nel 1861) affondano le loro radici in Castel Serpico, castello feudale lungo l'antica strada che conduceva a Melfi. Serpico verso l'anno 1.000 era un feudo molto ampio. I Serpiceti erano per lo più pastori ed agricoltori.","San Vito e Santo Stefano","15 giugno","Moderna","XVII",1698,3,45,11,"Informazione assente","Eventi di fumetti,eventi di natale","40.893323, 14.867182","http://spod.databenc.it/ethersheet/images/773ac4e1-efce-40e4-b082-a863f757f194/948e1489-af4c-405b-8046-97960b8a728c.jpg","Wikipedia","",
"Savignano Irpino",1139,"Fabio Della Marra Scarpone","Savignanesi","Ciccotonno, Bosco, Cesine, Cavallari, Fiego, Ortichella, Ischia, Prato, Pescara, Difesa, Ferrara",83030,38.47,11,"Comune montano in provincia di Avellino con più di millecento abitanti. Sorge sul Cervaro, in prossimità della confluenza con l'Avella. Il comune è ai confini con la Puglia. Probabilmente deriva dal nome latino di persona Sabinius, a cui si aggiunge il suffisso -anus che indica appartenenza.","La storia di Savignano è strettamente legata a quella del territorio di Ferrara. ... Nel 1193 Savignano risulta sotto il governo di Saralo Guarna, finché quest'ultimo venne giustiziato reo di essersi ribellato a Tancredi d'Altavilla e di aver parteggiato a favore di Enrico VI. Il feudo passò allora a Giacomo Guarna","San Nicola, Sant'Anna","26 luglio , 6 dicembre","Antica","Informazione assente","Informazione assente",3,"Informazione assente",10,"Informazione assente","Eventi di natale","41.226933, 15.176890","http://spod.databenc.it/ethersheet/images/773ac4e1-efce-40e4-b082-a863f757f194/37c9f620-1662-4d0d-9454-d0a9c1bfe9b6.jpg","Wikipedia","",
"Scampitella",1172,"Antonio Consalvo","Scampitellesi","Non ha frazioni",83050,15.11,0,"L'origine è molto incerta. Secondo un'ipotesi non confermata potrebbe derivare da Campitello, nel senso di piccolo campo.","Centro agricolo dell'Appennino Sannita, è stata frazione fino al 1948, anno in cui ha ottenuto l'autonomia di comune, distaccandosi dal comune di Trevico.La popolazione, assottigliata sempre più dal fenomeno dell'emigrazione, è prevalentemente dedita all'agricoltura.","San Michele Arcangelo","8 maggio","Contemporanea","XX",1948,12,"Informazione assente",9,"Informazione assente","Teatro,eventi occidente verso oriente,opera","41.081500, 15.294691","http://spod.databenc.it/ethersheet/images/773ac4e1-efce-40e4-b082-a863f757f194/cbc0093e-66b4-48d9-824f-b9cf6b1dab3d.jpg","Wikipedia","",
"Senerchia",772,"Beniamino grillo","Senerchiesi","Acerno, Calabritto, Campagna , Oliveto Citra, Valva",83050,36.39,5,"Secondo alcuni il nome deriva dal latino siler, -eris, una pianta che cresce nei luoghi ricchi di acqua.","Senerchia, centro attivo della Valle del Sele, distrutto dal sisma del 23 novembre 1980, ha origine antichissime risalenti al IX sec. dell’era volgare. La popolazione picentina, che abitava le ripide roccie costose della valle, insediatesi dopo il conflitto della seconda guerra punica, venne a stabilirsi nell’oppidum romano con il nome di SENA HERCLEA.  Ursetani, coloni romani, longobardi si unirono a quest’ultimi dopo l’invasione di Alarico il quale nell’409 d.C. devastò i villaggi di Serradarce e Sarginara.","San Michele Arcangelo","8 maggio, 29 settembre","Medievale","Informazione assente","Informazione assente",5,20,9,"Informazione assente","Eventi teatrali, eventi artigiani, eventi di degustazione","40.741607, 15.205933","http://spod.databenc.it/ethersheet/images/773ac4e1-efce-40e4-b082-a863f757f194/b863e30d-2185-451a-b63c-8ef94d2c3762.jpg","Wikipedia,sito del comune","",
"Serino",6943,"Vito Pelosi","Serinesi","San Giuseppe, San Biagio, Strada, Grimaldi, San Sossio, Troiani, Guanni, Casancino, Ribottoli, San Gaetano, Fontanelle, Orano, Sala, Doganavecchia, Raiano, San Giacomo, Ponte, Ferrari, Cretazzo, Pescarole, Stazione, Canale, Toppole e Ogliara.",83028,52.5,24,"Secondo Francesco Scandone, storico dei comuni dell'Irpinia, il nome di Serino ha antichissime origini e deriverebbe dall'osco Storia ""sarino"" che vuol dire ""chiaro"". L'appellativo veniva dato alle sorgenti d'acqua purissima che facevano singolare contrasto con il corso limaccioso del Sabato.","In epoca storica, le origi di Serino vanno ricercate nella misteriosa Sabatia ove abitava un popolo di origine sannitica ""i sabatini"" che, con ogni probabilità, verso la metà del secolo II a.C. trovarono rifugio nella zona ove attualmente sorge il centro urbano.","San Francesco","4 ottobre","Antica","Informazione assente","Informazione assente",6,40,9,"Tornola, Antica Sabatia, Vallone di Girasole, Abbazia del S.S Salavatore","Sagra della castagna e CanalArte","40.859533920756085, 14.862452189566097","http://spod.databenc.it/ethersheet/images/773ac4e1-efce-40e4-b082-a863f757f194/a0c0f017-60b3-41ac-9d2c-4570040ff4fc.jpg","Wikipedia, www.irpinia.info, google maps, aziende.tuttosuitalia.com","",
"Sirignano",2822,"Raffaele Colucci","Sirignanesi","Non ha frazioni",83020,6.19,0,"Probabilmente ha origine dal nome latino di persona Serenius, a cui si aggiunge il suffisso -anus che indica appartenenza.","La prima notizia certa di un centro abitato chiamato Sirignano risale agli inizi del sec. XII e precisamente al 1130, quando un certo Angelo chiamato Scambatus (forse perché privo di una gamba) donò un terreno al monastero di Montevergine.","Sant'Andrea apostolo","30 novembre","Medievale","XII",1130,5,50,2,"Informazione assente","I ""Mesi"" e la ""Zeza"", i ""battenti"", il falò, ""Natale piccirillo"", l'offerta del ""maio""","40.94928678123652, 14.62916999933912","http://spod.databenc.it/ethersheet/images/773ac4e1-efce-40e4-b082-a863f757f194/f6b3f9eb-82e6-422f-90bf-2f0dd8627598.jpg","Wikipedia","",
"Solofra",12410,"Michele Vignola","Solofrani","Sant'Agata Irpina, Sant'Andrea apostolo",83029,22.21,2,"Il toponimo ""Solofra"" potrebbe trarre le sue origini dal dialetto Osco (facies Sannitica), in uso presso i coloni Romani che ne abitavano il territorio. La radice etimologica, Salufer (in latino Saluber), starebbe ad indicare la salubrità e l'ospitalità del luogo. Secondo altri studi il termine Solofra sarebbe nato dall'incrocio di due termini latini: Sol (Sole) ed Ofra (Offerta), da cui ""Offerta al Sole"". Con questa teoria si fa dunque riferimento al culto del Sole, che veniva probabilmente praticato dalla popolazione solofrana al tempo dei Romani.","Il passo di Castelluccia è dominato dai resti di una antica fortificazione sannita. L'occupazione romana delle terre irpine è testimoniata dai resti di diverse ville rustiche, ovvero fattorie assegnate in genere ai veterani che svolgevano il duplice incarico di coltivare e difendere le terre. La fortificazione di Castelluccia fu usata anche dai romani. Con la caduta dell'impero romano Solofra visse un periodo di grande sofferenza dovuta ai saccheggi di Totila ed alle conseguenze della guerra greco-gotica. Nel periodo longobardo fece parte del ducato di Benevento e quando questo si spezzò in due fece parte del principato di Salerno. E' in questo periodo che la concia delle pelli assunse un ruolo economico importante per accontentare le richieste di Salerno e Amalfi. Nel periodo Normanno - Svevo la via che passava nel territorio solofrano smise di essere importante e questo impoverì il territorio. Durante il periodo angioino Solofra aumentò la sua prosperità anche grazie all'ottimo governo del feudo fatto da Filippo Filangieri. Nel periodo aragonese si formò a Solofra un forte ceto artigianale e mercantile. Il seicento fu un periodo di crisi per l'Italia. Le vecchie rotte commerciali si spostarono dal Mediterraneo alle Americhe e la peste colpì duramente le popolazioni italiche. Solofra non fece eccezione e visse un periodo di declino. I fermenti culturali e gli sconvolgimenti politici legati alla rivoluzione francese e al risorgimento non lasciarono indifferente Solofra che vide diversi suoi cittadini illustri partecipare alla rivoluzione napoletana del 1799 ed ai moti dell'ottocento","San Michele Arcangelo","29 settembre","Antica","Informazione assente","Informazione assente",10,50,18,"Il Centro Storico e le frazioni, i luoghi della concia, percorso archeologico, percorso panoramico","Mercato settimanale, Carnevale, Workshock della risata","40.83685472257796, 14.845624884710304","http://spod.databenc.it/ethersheet/images/773ac4e1-efce-40e4-b082-a863f757f194/a37b61e3-d35c-468f-aa68-91fa80841dd9.jpg","http://aziende.tuttosuitalia.com, https://it.wikipedia.org/wiki/Solofra , http://www.comune.solofra.av.it/","",
"Sorbo Serpico",587,"Maria Teresa Fontanella","Sorbesi","Non ha frazioni",83050,8.1,0,"Deriva dal sorbo, ossia la pianta diffusa nelle regioni mediterranee. Il termine ""Serpico"", invece, deriva dal nome latino di persona Serpicus, oppure da serpeus (serpente), in riferimento alla presenza di un luogo di culto dedicato a Serapide.","Il primo nucleo fu edificato sul Monte Serpico, sul perimetro difensivo della colonia romana di Avellino, e, pare, abbia assunto questo nome da un tempio dedicato alla divinità Serapide. Da un documento del 901 Serpico risulta casale appartenente al centro longobardo di Conza. Al tempo dei Normanni era un dominio dei conti di Avellino. Successivamente risulta come feudo delle famiglie Gesualdo, Galeota e Della Marra. La peste del 1656 ne decimò la popolazione così che sorse, più in basso dell'antico nucleo, Sorbo per opera dei superstiti. Il centro di Serpico quindi andò sempre più spopolandosi a favore di Sorbo. La famiglia Brancaccio detenne poi il feudo di Sorbo Serpico fino all'eversione della feudalità.","San Martino","11 novembre","Antica","Informazione assente","Informazione assente",4,42,0,"Non sono presenti percorsi","Sagra di Castagne e Vino,Safra della Coccetella, Festa di San Martino","40.91783856680576, 14.887964943929365","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/a13a256e-4d77-4421-964a-2b23c1c4d37f.jpg","http://aziende.tuttosuitalia.com, https://it.wikipedia.org/ ,  http://www.comune.sorboserpico.av.it/","",
"Sperone",3771,"Marco Santo Alaia","Speronesi","Non ha frazioni",83020,4.7,0,"Il nome potrebbe riferirsi o alla posizione geografica del luogo o forse ad un nome di persona.","Sebbene la prima citazione in un documento risalga solo al 1160, la nascita di Sperone, con molta probabilità, dovrebbe essere retrodatata di tre o quattro secoli, visto che sin dall'VIII-IX secolo l'insediamento urbano andò sviluppandosi attorno all'originaria Cappella dedicata al Profeta e Santo Elia. Di certo, fino alla fine del XVIII secolo Sperone funse da Casale di Avella, di cui seguì le sorti, storico-economiche e culturali, il che d'altronde, non sorprende data l'assoluta contiguità, anzi la quasi sovrapposizione dei due paesi. Fu feudo degli Sforza-Cabrena-Bovadilla, dei Conti di Celano. Sperone, al pari di tanti altri Comuni dell'Irpinia, patì particolarmente la pestilenza del 1656, da cui si salvò, stando alla tradizione popolare, grazie alle suppliche popolari rivolte al Profeta e Santo Elia, divenuto Patrono del paese ed a cui è dedicata una festa ogni anno ed una Chiesa. Il vincolo amministrativo con Avella venne definitivamente rescisso nel 1836, quando Sperone fu elevato a Comune autonomo.","Sant'Elia","20 luglio","Antica","VII - IX","Informazione assente",2,24,3,"Non sono presenti percorsi","Festa di S. Elia, Festa della S. Croce Festa di S. Antonio da Padova, Sagra della braciola, Festa del Maio, Concorso di poesia ""F. Sodano"" Maggio","40.952741363457704, 14.602542364222646","","http://aziende.tuttosuitalia.com, https://it.wikipedia.org/ , http://www.irpinia.info","",
"Sturno",3014,"Vito di Leo","Sturnesi","Pantanelle-montana Torone Crocevie-costantino Filette Tesoro Amendola Ficuciello Serrapreta Sterpato Lenze della Corte-serradenzita",83055,17.07,9,"","Quando ancora era un insieme di semplici agglomerati di case che facevano parte della vicina Frigento, Sturno era chiamata ""Quasale"" (poiché era formato da una serie di casali appartenenti alle famiglie più abbienti). Successivamente, i piccoli agglomerati si svilupparono in un vero e proprio paese; il commessionato Lucio Pascale, inviato da Gioacchino Murat in quell'epoca cercò di capire gli intenti di questa separazione: una volta comprese le motivazioni, comunicò il tutto a Gioacchino Murat che confermò l'indipendenza di Sturno: il 9 aprile 1809 viene considerata la data della fondazione del paese per le precedenti ragioni: ovviamente i frigentini non furono d'accordo. Passarono ben due anni per delimitare i confini tra i due paesi ed il motivo era semplice: a Sturno sarebbero toccati i terreni migliori, quelli fertili e più in pianura; la prima delibera sturnese venne approvata nel 1810. Il paese però aveva richiesto l'autonomia già dalla fine del Seicento.","San Domenico di Guzman","8 agosto","Contemporanea","XIX",1809,12,2,3,"Non sono presenti percorsi","L'8 agosto festa patronale: San Domenico di Guzmán, il quale è compatrono insieme a San Francesco d'Assisi. Dai due santi prende il nome la chiesa parrocchiale del paese.","41,01 15,06","http://spod.databenc.it/ethersheet/images/773ac4e1-efce-40e4-b082-a863f757f194/58903eed-6b24-4c2b-b4f0-08df191e6ce0.png","wikipedia google maps","",
"Summonte",1538,"Pasquale Giuditta","Summontesi","Embriciera Starze",83010,12.37,2,"Il nome potrebbe riferirsi o alla posizione geografica del luogo o forse ad un nome di persona","Il suo territorio fu sede di un avamposto sannita sulla via di comunicazione tra la valle del Sabato e quella dell’Irno e di un insediamento della colonia romana di Abellinum.","San Nicola di Bari","6 dicembre","Medievale","XI",1094,1,30,1,"Campo San Giovanni","Sagra della castagna festa  San Nicola di Bari","40,950003 14,757562","http://spod.databenc.it/ethersheet/images/773ac4e1-efce-40e4-b082-a863f757f194/f13b6212-9a30-456c-add2-758beddb09c6.jpg","wikipedia google maps","",
"Taurano",1505,"Salvatore Maffettone","Tauranesi","Non ha frazioni",83020,10.17,0,"Il toponimo del paese deriva nel gentilizio Taurius o nel conogme Taurus.","Taurano è un antico oppidum sannita, distrutto da Silla nel corso della guerra sociale. Nel territorio di Taurano, a monte dell'attuale abitato sono stati rinvenuti reperti dell'età del bronzo. In epoca romana diviene luogo di villeggiatura, di questo periodo sono due ville venute alla luce solo parzialmente, una in località Torre e l'altra in San Giovanni del Palco. Il territorio montano, a nord dell'abitato, durante le incursioni barbariche è stato rifugio per le popolazioni dell'intera vallata, nell'ultimo anno sono state rinvenute, durante gli scavi per la costruzione di un metanodotto, proprio in montagna, due ville rurali di epoca tardo-romana. Nel medioevo è parte del feudo di Lauro. Taurano, così come l'intera Valle di Lauro, è aggregato alla provincia di Terra del Lavoro nell'ambito della divisione amministrativa operata dal Murat. Nel secolo scorso ha offerto ospitalità a cospiratori anti-borbonici, frate Angelo Peluso, ed a briganti, fra Diavolo. Durante i moti del 1820-21, gli ufficiali Morelli e Silvati, nel raggiungere il generale Guglielmo Pepe, attraversarono il territorio montano di Taurano. A partire dal periodo post-unitario Taurano, divenuto comune autonomo salvo una breve interruzione, è parte della provincia di Avellino.","Maria SS. Assunta in Cielo","15 agosto","Contemporanea","XX",1998,7,42,3,"Madonna dell'Arco Freconia Pizzone","Sagra della nocciola sagra dello gnocco expo cantina passio Christi mercato settimanale di Taurano","40.88383217978111, 14.634502372655064","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/beadca66-752f-4b90-a7f1-cb51f96cad88.jpg","wikipedia google maps","",
"Taurasi",2296,"Antonio Tranfaglia","Taurasini","Informazione assente",83030,14.41,"Informazione assente","Il Taurasi è un vino che trova le sue origini nell'età preromana: il vitigno principale da cui si produce questo vino, l'Aglianico, era un tempo detto ""hellenico"" a sottolineare l'origine greca. Da queste origini deriva anche il cognome ""Taurasi"" legato alla storia e alla nobiltà del borgo.","Con le invasioni le sue balze pedemontane accolsero due arroccamenti altomedioevali protetti dalla Pieve di S. Angelo e S. Maria che fu un importante e forte punto di coagulo nella formazione della identità popolare. Essa permise il gravitare delle attività solofrane verso Salerno da cui dipendeva e di cui il territorio fu tributario.","San Marciano","14 giugno","Moderna","XIX",1809,10,34,4,"Taurasi trekking tour","Fiera encologica taurasi","41,009869 14,9594435","http://spod.databenc.it/ethersheet/images/773ac4e1-efce-40e4-b082-a863f757f194/5c15b76a-7067-4a0b-bff1-f7850f8f13b5.jpg","wikipedia google maps","",
"Teora",1476,"Stefano Farina","Teoresi","Non ha frazioni",83056,23.21,0,"Il nome Teora si avvicina a Tugurium Biarium","Il borgo di Teora ebbe origine come centro agricolo, pastorale e militare. In epoca romana vi morì il tribuno della plebe Milone durante la guerra civile tra Cesare e Pompeo. In un privilegio del 1200, concesso dal papa Innocenzo III a Pantaleone, arcivescovo di Conza, è riferita una località che nel nome sembra avvicinarsi a Teora, ovvero Tugurium Biarium. In realtà, tale paese, che nel 1464 risultava già disabitato (Teora era invece esistente), indica l'attuale zona rurale di Boiara, una località sita nell'attuale comune di Caposele dove ancora oggi si vedono, accanto alla chiesa di San Vito, i ruderi del castello. Durante il feudalesimo, esattamente nel 1322, era signore di Teora un tal Filippo; in seguito (1376) il suo feudo venne comprato dal conte Giacomo Arcuccio e successivamente passò ai Gesualdo. Dal 1676 Teora appartenne ai principi Mirelli sino all'abolizione della feudalità (1806).","San Nicola","6 dicembre","Moderna","XVIII",1806,5,21,2,"Non sono presenti percorsi","Mercato settimanale di Teora li squaccalacchiun","40,853906 15,254223","http://spod.databenc.it/ethersheet/images/773ac4e1-efce-40e4-b082-a863f757f194/7caf15bc-e48b-497c-9e4d-c49a45247d0e.JPG","wikipedia google maps","",
"Torella dei Lombardi",2051,"Amado Delli Gatti","Torellesi","Acquara, Pianomarotta, San Vito, Montanaldo, Ss. Giovanni e Paolo, Cedolena, Lenze, Cerri, Serrone",83057,26.57,8,"Secondo alcuni il nome deriva dal latino torellam, così come è menzionata nei documenti medioevali. Altri credono, invece che il nome derivi da Toro, animale rappresentato anche nello stemma municipale.","La sua origine si fa risalire al periodo in cui il re longobardo Ludovico II risolse la disputa per il Ducato di Benevento 848 d.C., fissando il confine tra il suddetto Ducato e quello di Salerno sul fiume Fredane, attorno al quale nacquero dei forti o rocche, da un lato Sant'Angelo del Pesco (nel territorio di Frigento) e Rocca San Felice, e dall'altro Monticchio dei Lombardi, Sant'Angelo dei Lombardi, Torella dei Lombardi e Guardia dei Lombardi.La prima citazione del borgo medioevale risale all'850 come ""Turrella"" (piccola torre).Il castello, e quindi Torella, appartenne alla famiglia Saraceno fino al 1529, quando passò ad Alfonso della Rosa che nel 1550-60 vendette Torella e Girifalco a Domizio dei Caracciolo, i quali nel 1639, vennero insigniti del titolo di principi di Torella che tennero fino all'Unità d'Italia quando, nel 1889, Umberto I concesse il titolo di marchese di Candriano (dopo principe) a Giuseppe Caracciolo. Alla sua morte il tutto fu ereditato dal nipote Camillo Ruspoli. Quest'ultimo morì nel 1940 e nel 1959 la vedova, Marie Marguerite Blanc, donò la struttura al Comune che ora la usa come sede comunale e museo.Fino al 1862 Torella dei Lombardi si chiamava solo Torella, mentre ""dei Lombardi"" fu aggiunto solo dopo l'unità d'Italia, al fine di evitare casi di omonimia e a memoria del fatto che la fondazione del borgo avvenne tra il X e l'XI secolo, sotto il dominio longobardo.","Sant'Eustachio","20 settembre","Medievale","IX",848,7,49,3,"Informazione assente","Mercato settimanale di torella dei lombardi, carnevale a torella dei lombardi,sagra dei sapori antichi","40.94297,15.11475","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/291d04c1-c982-40c7-9562-64017224398d.jpg","wikipedia","",
"Torre Le Nocelle",1247,"Antonio Cardillo","Torresi","Case sparse, Felette, Fontana d'Agli, Grifi, Madonna delle Grazie, San Iuliano, San Mercurio.",83030,10.04,7,"Il nome è un composto di torre e di nocelle, derivato da turris Nocellarum. Secondo la tradizione, gli abitanti conservarono una grossa quantità di nocelle nella torre durante il periodo di guerra e proprio intorno a questa ""torre delle nocelle"" si stanziarono e si cibarono di questo frutto per lungo tempo.","Le origini del paese risalgono, secondo alcune testimonianze, all'epoca romana e preromana. Lo dimostrerebbero oggetti e ruderi rinvenuti nel territorio in località Viticeto, gli avanzi di un acquedotto romano lungo il fiume Calore e tre colonne di marmo cipollino provenienti da un tempio pagano, che si trovano oggi nella chiesa di San Ciriaco. Per avere un'idea di come dovevano presentarsi i dintorni di Torre Le Nocelle nel periodo romano, è possibile osservare la Tabula Peutingeriana, dove troviamo il vecchio tracciato dell'Appia e l'indicazione del ""Ponte Rotto"" sul Calore, di Aeclanum, di Romulea, di Aquilonia (Lacedonia), di Abellinum e del ponte sull'Ofanto. Altri documenti consentono di ricostruire, su basi più certe, la storia del paese a partire dall'età medievale. In quel periodo, infatti, il paese fu uno dei baluardi di difesa e di vedetta dei vicini feudi di Montefusco e Montemiletto e venne denominato, fin dal 1280, col nome di ""Turrecella"". Nei documenti posteriori, a partire dal 1412, il paese è citato come ""Torre di Montefuscolo"" perché era, appunto, uno dei castelli che circondava la baronia di Montefusco. Nel 1806, con l'estromissione dal regno di Napoli dei Borboni, Gioacchino Murat diede pratica attuazione alla legge napoleonica che aboliva la feudalità: allontanò i Caracciolo dal governo di Avellino ed espropriò tutti gli enti religiosi di ogni corpo feudale e bene. Nel nuovo quadro amministrativo, Avellino fu dichiarato capoluogo del Principato Ultra e, a seguito della nuova situazione, nel 1810, Torre Nocelle litigò col principe di Montemiletto per il possesso di Starse e del Bosco Faiano.Nel settembre del 1860 a Torre le Nocelle i reazionari filoborbonici scatenarono una violenta reazione che si tradusse in una strage di liberali filogaribaldini. Una rivolta del tutto analoga avvenne anche a Montemiletto mentre ad Ariano Irpino vennero presi di mira i garibaldini accorsi a formare il governo provvisorio della città e non i liberali del posto.","San Ciriaco","16 marzo, 8 agosto","Moderna","XVI",1504,1,50,3,"Informazione assente","Sagra della pizza chiena,Festa della birra,La notte dei sapori","41.02195, 14.91052","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/2bda3dd3-2e44-46bd-9dc7-a81a9ad0f79d.jpg","wikipedia","",
"Torrioni",530,"Annamaria Oliviero","Torrionesi","Bosco, Campore, Guardie",83010,4.22,3,"Il nome non è altro che l'accrescitivo di Torre. In passato era chiamato Torre di Aione, dal nome del fondatore, o Torre di Tufo per la vicinanza al piccolo centro abitato di ""Tufo"".","Torrioni nacque nel IX secolo d.C., quando il principe di Benevento Aione II fece costruire vicino Tufo (comune della provincia di Avellino), una grande torre fortificata, intorno alla quale, negli anni, nacque un piccolo insediamento, diventato successivamente il comune di Torrioni.La torre prese il nome dal principe che la fece costruire, chiamandosi ""Turris Aionis"", da cui poi è derivato il nome del paese formatosi intorno: Torrioni.Della torre originaria, ricostruita in epoca aragonese, sono ammirabili i resti nel sito archeologico Rovine di Turris Ayonis, presso cui si svolge annualmente una manifestazione commemorativa nota come Palio della Torre di Torrioni","San Michele Arcangelo","29 settembre","Medievale","Informazione assente","informazione assente",4,18,2,"Torrioni di Monrupino","Festa di San Michele Arcangelo, Festa di Sant' Antonio, Sagra dei fusilli e della porchetta","41.03362, 14.81399","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/dc627042-6e34-4087-8ce7-68b46d2e8458.jpg","wikipedia","",
